product_name,quantity_sold,unit_price,cost
Grilled Salmon,150,24.99,8.50
Caesar Salad,280,12.99,3.25
Ribeye Steak,95,34.99,14.00
Chicken Parmesan,220,18.99,5.70
Margherita Pizza,310,14.99,3.75
Fish and Chips,175,16.99,5.10
Shrimp Scampi,85,22.99,9.20
Veggie Burger,145,13.99,3.50
Buffalo Wings,340,11.99,3.00
Lobster Tail,45,42.99,18.00
Pasta Primavera,165,15.99,4.00
BBQ Ribs,110,26.99,10.80
Cobb Salad,195,14.99,4.50
Mushroom Risotto,75,19.99,5.00
Fried Calamari,230,13.99,4.20
New York Strip,80,38.99,15.60
Tacos (3 pc),290,12.99,3.25
Clam Chowder,185,8.99,2.25
Cheesecake,210,9.99,2.50
Tiramisu,125,10.99,3.30
